"","GeoFips","GeoName","X2023"
"1","00000","United States",23380269
"2","01000","Alabama",276925.6
"3","02000","Alaska",52520
"4","04000","Arizona",464774.9
"5","05000","Arkansas",176809.1
"6","06000","California",3166135.4
"7","08000","Colorado",470605.9
"8","09000","Connecticut",325345.8
"9","10000","Delaware",68981.6
"10","11000","District of Columbia",72525.3
"11","12000","Florida",1553426.4
"12","13000","Georgia",660447.5
"13","15000","Hawaii",94970.8
"14","16000","Idaho",116675.3
"15","17000","Illinois",906647.6
"16","18000","Indiana",420259.7
"17","19000","Iowa",201332.8
"18","20000","Kansas",194413.5
"19","21000","Kentucky",250569.1
"20","22000","Louisiana",269140.2
"21","23000","Maine",90868.2
"22","24000","Maryland",465936.8
"23","25000","Massachusetts",634296.1
"24","26000","Michigan",613719.2
"25","27000","Minnesota",416324.5
"26","28000","Mississippi",145961.8
"27","29000","Missouri",387904.7
"28","30000","Montana",73620
"29","31000","Nebraska",141151
"30","32000","Nevada",211575.4
"31","33000","New Hampshire",110683.7
"32","34000","New Jersey",762802.9
"33","35000","New Mexico",117016.3
"34","36000","New York",1611169.3
"35","37000","North Carolina",670051.1
"36","38000","North Dakota",56475.1
"37","39000","Ohio",724778.8
"38","40000","Oklahoma",245439.2
"39","41000","Oregon",287182.5
"40","42000","Pennsylvania",893649.2
"41","44000","Rhode Island",74045.8
"42","45000","South Carolina",308077.8
"43","46000","South Dakota",66619.5
"44","47000","Tennessee",443472
"45","48000","Texas",2020899
"46","49000","Utah",219331.6
"47","50000","Vermont",43335.9
"48","51000","Virginia",643578.6
"49","53000","Washington",632296
"50","54000","West Virginia",93504.9
"51","55000","Wisconsin",384068.2
"52","56000","Wyoming",47927.8
"53","Legend/Footnotes","",NA
"54","  Last updated: March 28"," 2025.",NA
